contestId,contestName,handle,newRating,oldRating,rank,ratingUpdateTimeSeconds
902,Codeforces Round #453 (Div. 2),Mindjolt,1421,1500,3161,1513704900
909,Codeforces Round #455 (Div. 2),Mindjolt,1469,1421,981,1514399700
911,Educational Codeforces Round 35 (Rated for Div. 2),Mindjolt,1448,1469,1725,1514477100
908,Good Bye 2017,Mindjolt,1393,1448,4550,1514571000
912,Codeforces Round #456 (Div. 2),Mindjolt,1368,1393,2425,1515170100
913,Hello 2018,Mindjolt,1319,1368,4376,1515431700
915,Educational Codeforces Round 36 (Rated for Div. 2),Mindjolt,1298,1319,2483,1515855900
980,Codeforces Round #480 (Div. 2),Mindjolt,1383,1298,1262,1525799100
